,round_number,grant_number,grant_value,grant_clarity,grant_legitimacy,grant_difficulty,grant_is_unsafe,reviewer_1,reviewer_1_social,reviewer_1_ability,reviewer_1_recognition,reviewer_1_engagement,reviewer_1_satisfaction,reviewer_1_total_paid,reviewer_1_trust_level,reviewer_1_correct,reviewer_2,reviewer_2_social,reviewer_2_ability,reviewer_2_recognition,reviewer_2_engagement,reviewer_2_satisfaction,reviewer_2_total_paid,reviewer_2_trust_level,reviewer_2_correct,reviewer_3,reviewer_3_social,reviewer_3_ability,reviewer_3_recognition,reviewer_3_engagement,reviewer_3_satisfaction,reviewer_3_total_paid,reviewer_3_trust_level,reviewer_3_correct,reviewer_1_score,reviewer_2_score,reviewer_3_score,aggregate_score,discussed
0,0.0,1.0,0.4,0.4,0.4,0.4,1.0,18.0,0.4,0.5,0.4,0.7,0.59,800.0,2.0,0.0,38.0,0.4,0.5,0.4,0.6,0.6,800.0,2.0,0.0,28.0,0.4,0.5,0.4,0.7,0.6,800.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
1,0.0,2.0,0.5,0.3,0.2,0.6,1.0,49.0,0.4,0.5,0.4,0.4,0.57,800.0,2.0,1.0,32.0,0.4,0.5,0.4,0.4,0.59,800.0,2.0,1.0,41.0,0.4,0.6,0.4,0.8,0.69,800.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,3.0,0.3,0.5,0.1,0.8,1.0,46.0,0.4,0.5,0.4,0.4,0.58,800.0,2.0,0.0,30.0,0.1,0.30000000000000004,0.7,0.1,0.8999999999999999,500.0,1.0,0.0,40.0,0.7,0.30000000000000004,0.2,0.2,0.59,800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,4.0,0.6,0.6,0.2,0.7999999999999999,1.0,24.0,0.7,0.7,0.5,0.7,0.6699999999999999,800.0,2.0,1.0,37.0,0.2,0.9999999999999999,0.2,0.2,0.9999999999999999,500.0,1.0,1.0,27.0,0.8,0.30000000000000004,0.2,0.2,0.9899999999999999,800.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
4,0.0,5.0,0.5,0.3,0.1,0.8,1.0,12.0,0.2,0.5,0.7,0.8,0.7799999999999999,800.0,2.0,1.0,41.0,0.4,0.7999999999999999,0.4,0.8,0.8599999999999999,800.0,2.0,1.0,10.0,0.5,0.8999999999999999,0.5,0.2,0.6699999999999999,800.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0.0,6.0,0.5,0.5,0.4,0.19999999999999996,1.0,47.0,0.5,0.6,0.5,0.5,0.5499999999999999,800.0,2.0,0.0,46.0,0.4,0.7,0.4,0.4,0.7599999999999999,800.0,2.0,0.0,48.0,0.5,0.9999999999999999,0.5,0.5,0.7499999999999999,800.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,7.0,0.6,0.6,0.4,0.3999999999999999,1.0,13.0,0.4,0.5,0.5,0.5,0.57,800.0,2.0,1.0,22.0,0.2,0.9999999999999999,0.2,0.2,0.9999999999999999,500.0,1.0,1.0,18.0,0.4,0.7,0.4,0.7,0.7499999999999999,800.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
7,0.0,8.0,0.7,0.7,0.5,0.3999999999999999,1.0,9.0,0.7,0.5,0.5,0.5,0.8499999999999999,800.0,2.0,1.0,17.0,0.2,0.5,0.7,0.5,0.9499999999999998,800.0,2.0,1.0,47.0,0.5,0.7999999999999999,0.5,0.5,0.7499999999999999,800.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
8,0.0,9.0,0.8,0.8,0.6,0.40000000000000013,0.0,46.0,0.4,0.7999999999999999,0.4,0.4,0.8099999999999998,800.0,2.0,0.0,14.0,0.5,0.7,0.5,0.7,0.6199999999999999,800.0,2.0,0.0,20.0,0.5,0.7,0.8,0.2,0.6199999999999999,800.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,10.0,0.4,0.4,0.5,0.19999999999999996,0.0,2.0,0.2,0.7999999999999999,0.2,0.7,0.5099999999999999,800.0,2.0,1.0,18.0,0.4,0.8999999999999999,0.4,0.7,0.9199999999999998,800.0,2.0,1.0,28.0,0.4,0.7,0.4,0.7,0.7299999999999999,800.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0,11.0,0.5,0.5,0.3,0.4,0.0,13.0,0.4,0.7,0.5,0.5,0.7199999999999999,800.0,2.0,1.0,40.0,0.7,0.4,0.2,0.2,0.97,800.0,2.0,1.0,20.0,0.5,0.7999999999999999,0.8,0.2,0.7199999999999999,800.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
11,0.0,12.0,0.5,0.5,0.4,0.19999999999999996,1.0,43.0,0.5,0.7,0.5,0.5,0.6199999999999999,800.0,2.0,1.0,49.0,0.4,0.6,0.4,0.4,0.5799999999999998,800.0,2.0,1.0,47.0,0.5,0.8999999999999999,0.5,0.5,0.8299999999999998,800.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.0,13.0,0.4,0.4,0.5,0.19999999999999996,0.0,38.0,0.4,0.8999999999999999,0.4,0.6,0.9599999999999999,800.0,2.0,1.0,36.0,0.1,0.9999999999999999,0.1,0.1,0.9899999999999999,500.0,1.0,1.0,15.0,0.5,0.9999999999999999,0.5,0.2,0.9099999999999998,800.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.0,14.0,0.5,0.5,0.3,0.4,0.0,24.0,0.7,0.7999999999999999,0.5,0.7,0.7299999999999999,800.0,2.0,1.0,49.0,0.4,0.7999999999999999,0.4,0.4,0.7599999999999998,800.0,2.0,1.0,10.0,0.5,0.9999999999999999,0.5,0.2,0.8299999999999998,800.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.0,15.0,0.3,0.3,0.6,0.6,0.0,2.0,0.2,0.8999999999999999,0.2,0.7,0.5899999999999999,800.0,2.0,1.0,1.0,0.1,0.9999999999999999,0.1,0.1,0.9999999999999999,500.0,1.0,1.0,33.0,0.5,0.9999999999999999,0.5,0.7,0.8299999999999998,800.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.0,16.0,0.6,0.6,0.5,0.19999999999999996,1.0,14.0,0.5,0.9999999999999999,0.5,0.7,0.8899999999999998,800.0,2.0,1.0,8.0,0.4,0.6,0.7,0.4,0.94,800.0,2.0,0.0,19.0,0.5,0.7,0.3,0.6,0.47999999999999987,800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,17.0,0.5,0.5,0.5,0.5,1.0,22.0,0.2,0.9999999999999999,0.2,0.2,0.9999999999999999,500.0,1.0,1.0,27.0,0.8,0.6,0.2,0.2,0.9199999999999998,800.0,2.0,1.0,11.0,0.1,0.9999999999999999,0.4,0.4,0.9899999999999999,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.0,18.0,0.5,0.5,0.6,0.19999999999999996,1.0,38.0,0.4,0.9999999999999999,0.4,0.6,0.9399999999999998,800.0,2.0,1.0,31.0,0.6,0.9999999999999999,0.2,0.2,0.9999999999999999,500.0,1.0,1.0,7.0,0.6,0.4,0.2,0.7,0.9099999999999998,800.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
